id,iebc_ward_name,count,province,district,division,pcode,status,no,shape_type,status_1,created_at,updated_at,voided,county,constituency
593,Kiminini,1,Rift Valley,Trans Nzoia,Kiminini,KE0594,,688,Polygon,,2026-03-04 16:05:54.645873,2026-03-04 16:27:36.58956,f,Trans Nzoia,Kiminini
602,Kinanie,2,Eastern,Machakos,Athi River,KE0603,,395,Polygon,,2026-03-04 16:05:54.693748,2026-03-04 16:27:36.697728,f,Machakos,Athi River
611,Kipchimchim,2,Rift Valley,Kericho,Ainamoi,KE0612,,948,Polygon,,2026-03-04 16:05:54.739128,2026-03-04 16:27:36.798518,f,Kericho,Ainamoi
618,Kipkenyo,1,Rift Valley,Uasin Gishu,Kapsaret,KE0619,,723,Polygon,,2026-03-04 16:05:54.773084,2026-03-04 16:27:36.90093,f,Uasin Gishu,Kapsaret
628,Kiriita,2,Central,Nyandarua,Ndaragwa,KE0629,,463,Polygon,spelling,2026-03-04 16:05:54.821186,2026-03-04 16:27:37.056401,f,Nyandarua,Ndaragwa
647,Kitise/Kithuki,10,Eastern,Makueni,Kathonzweni,KE0648,,427,Polygon,,2026-03-04 16:05:55.034221,2026-03-04 16:27:37.312361,f,Makueni,Kathonzweni
664,Kolowa,6,Rift Valley,Baringo,Kolowa,KE0665,,782,Polygon,,2026-03-04 16:05:55.123776,2026-03-04 16:27:37.458646,f,Baringo,Kolowa
682,Kuinet/Kapsuswa,2,Rift Valley,Uasin Gishu,Soy,KE0683,,707,Polygon,,2026-03-04 16:05:55.205262,2026-03-04 16:27:37.795716,f,Uasin Gishu,
691,Kwa Vonza/Yatta,8,Eastern,Kitui,Yatta,KE0692,,352,Polygon,spelling,2026-03-04 16:05:55.250066,2026-03-04 16:27:37.879269,f,Kitui,Yatta
697,Kyeleni,5,Eastern,Machakos,Matungulu,KE0698,,389,Polygon,,2026-03-04 16:05:55.340797,2026-03-04 16:27:37.896204,f,Machakos,Matungulu
717,Lapur,9,Rift Valley,Turkana,Lapur,KE0718,,613,Polygon,,2026-03-04 16:05:55.467307,2026-03-04 16:27:38.028858,f,Turkana,Lapur
584,Kileleshwa,2,Nairobi,Nairobi,Westlands,KE0585,,1374,Polygon,,2026-03-04 16:05:54.587946,2026-03-04 16:26:04.677188,f,Nairobi,Westlands
734,Lindi,1,Nairobi,Nairobi,Kibera,KE0735,,1387,Polygon,,2026-03-04 16:05:55.566209,2026-03-04 16:27:38.098152,f,Nairobi,Kibera
742,Loiyangalani,8,Eastern,Marsabit,Loiyangalani,KE0743,,236,Polygon,,2026-03-04 16:05:55.620429,2026-03-04 16:27:38.131865,f,Marsabit,Loiyangalani
750,London,3,Rift Valley,Nakuru,Municipality,KE0751,,871,Polygon,,2026-03-04 16:05:55.713155,2026-03-04 16:27:38.172122,f,Nakuru,Municipality
753,Lopur,3,Rift Valley,Turkana,Kakuma,KE0754,,618,Polygon,,2026-03-04 16:05:55.732007,2026-03-04 16:27:38.187617,f,Turkana,Kakuma
627,Kirenga,6,Central,Kiambu,Lari,KE0628,,610,Polygon,spelling,2026-03-04 16:05:54.816104,2026-03-04 16:26:04.876961,f,Kiambu,Lari
761,Lulis/Eyemole,2,North Eastern,Mandera,Banissa,KE0762,,,,,2026-03-04 16:05:55.775225,2026-03-04 16:27:38.217477,f,Mandera,Banissa
769,Melili,1,Rift Valley,Narok,,KE0770,,896,Polygon,spelling,2026-03-04 16:05:55.817222,2026-03-04 16:27:38.554645,f,Narok,
778,Madogashe,1,North Eastern,Garissa,Madogashe,KE0779,,140,Polygon,spelling,2026-03-04 16:05:55.86284,2026-03-04 16:27:38.578722,f,Garissa,Madogashe
810,Malalani/Endau,8,Eastern,Kitui,Mwitika,KE0811,,363,Polygon,spelling,2026-03-04 16:05:56.109674,2026-03-04 16:27:38.686425,f,Kitui,Mwitika
690,Kwa Reuben,1,Nairobi,Nairobi,Embakasi,KE0691,,1408,Polygon,,2026-03-04 16:05:55.244412,2026-03-04 16:26:05.305499,f,Nairobi,Embakasi South
824,Maraka,2,Western,Bungoma,Webuye,KE0825,,1106,Polygon,,2026-03-04 16:05:56.186964,2026-03-04 16:27:38.8344,f,Bungoma,Webuye
839,Marmanet,8,Rift Valley,Laikipia,Ng'arua,KE0840,,814,Polygon,,2026-03-04 16:05:56.346252,2026-03-04 16:27:38.903087,f,Laikipia,Ng'arua
855,Matapato South,6,Rift Valley,Kajiado,Namanga,KE0856,,920,Polygon,,2026-03-04 16:05:56.423636,2026-03-04 16:27:38.954316,f,Kajiado,Namanga
863,Matungulu East,5,Eastern,Machakos,Matungulu,KE0864,,387,Polygon,,2026-03-04 16:05:56.461867,2026-03-04 16:27:39.010427,f,Machakos,Matungulu
871,Mavindini,10,Eastern,Makueni,Kathonzweni,KE0872,,426,Polygon,,2026-03-04 16:05:56.504599,2026-03-04 16:27:39.113825,f,Makueni,Kathonzweni
878,Mbaruk/Eburu,3,Rift Valley,Nakuru,Municipality,KE0879,,846,Polygon,,2026-03-04 16:05:56.687194,2026-03-04 16:27:39.148097,f,Nakuru,Municipality
801,Makongeni,5,Nairobi,Nairobi,Makadara,KE0802,,1433,Polygon,,2026-03-04 16:05:56.061695,2026-03-04 16:26:06.124802,f,Nairobi,Makadara
12,Ageng'a/Nanguba,7,Western,Busia,Funyula,KE0013,,1150,Polygon,spelling,2026-03-04 16:05:49.741782,2026-03-04 16:27:31.59537,f,Busia,Funyula
911,Mji Wa Kale/makadara,3,Coast,Mombasa,Island,KE0912,,26,Polygon,,2026-03-04 16:05:56.866009,2026-03-04 16:27:39.252585,f,Mombasa,Island
